ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
4577776	Apples Gala BOX	Box					26		561	0	561	561	377	184	0.32799
9864657	Apple cooking	Apple cooking					2		66	0	66	66	50	16	0.24242
2693455	Apples Braeburn	Apples Braeburn					510	671.08400kg	1328.74632	0	1328.74632	1328.74632	1006.626	322.12	0.24243
4630983	Apples Braeburn Box (12KG)	Apples Braeburn Box (12KG)					32		734	0	734	734	572.4	161.6	0.22016
2693456	Apples Cooking	Apples Cooking					115	211.80000kg	584.296	0	584.296	584.296	371.66448	212.63	0.36391
2693458	Apples Gala	Apples Gala					489	641.34100kg	1269.85518	0	1269.85518	1269.85518	641.341	628.51	0.49495
10228109	Apples Gala LARGE BOX Gala	Apples LARGE BOX Gala					4		87.2	0	87.2	87.2	68	19.2	0.22018
2602093	Apples Golden	Apples Golden					535	692.74600kg	1371.63708	0	1371.63708	1371.63708	457.21236	914.42	0.66667
4630982	Apples Golden Box	Golden Box					5		70	0	70	70	30	40	0.57143
4577778	Apples Granny	Apples Granny					559	738.13400kg	1461.50532	0	1461.50532	1461.50532	583.12586	878.38	0.60101
7844080	Apples Granny box	Apples Granny box					3		63	0	63	63	45	18	0.28571
4577780	Apples Pink Lady	Apples Pink Lady					544	454.77400kg	1500.7542	0	1500.7542	1500.7542	909.548	591.21	0.39394
32888404	Apples Red Delicious	Apples Red Delicious					1		21	0	21	21	14	7	0.33333
4577781	Apples Red Delicious	Apples Red Delicious					308	232.69200kg	460.73016	0	460.73016	460.73016	176.84592	283.88	0.61616
7516865	Apricot punnet	Apricot punnet					206		388.94	0	388.94	388.94	246.9	142.04	0.3652
2602075	Apricots Loose	Apricots Loose					50	21.19000kg	85.1112	0	85.1112	85.1112	51.2072	33.9	0.39834
4590120	Aubergine	Aubergine					735	580.41600kg	2553.8304	0	2553.8304	2553.8304	1451.04	1102.79	0.43182
9873230	Aubergine box (5KG)	Aubergine box (5KG)					10		108	0	108	108	69	39	0.36111
2602077	Avocado	Avocado					3921		5058.09	0	5058.09	5058.09	3176.01	1882.08	0.37209
4577782	Banana	Banana					3309	3174.27500kg	4190.043	0	4190.043	4190.043	4126.5575	63.49	0.01515
9884789	Banana box	Banana box					2		44	0	44	44	36	8	0.18182
42323885	Beans fine box	Beans fine box					1		11.5	0	11.5	11.5	8	3.5	0.30435
24800449	Beef tomato	Beef tomato					1		26	0	26	26	21	5	0.19231
4590096	Beetroot Raw	Beetroot Raw					74	105.67000kg	153.73532	0	153.73532	153.73532	95.899	57.84	0.37623
9865759	Beetroot sack	Beetroot sack					1		9.5	0	9.5	9.5	6	3.5	0.36842
9726017	Butternut Box 1	Butternut Box 1					3		30	0	30	30	13.5	16.5	0.55
4590098	Butternut Squash 1	Butternut Squash 1					768	1163.35900kg	1739.80968	0	1739.80968	1739.80968	775.96465	963.85	0.55399
4590102	Cabbage Red	Cabbage Red					160	216.84400kg	333.93976	0	333.93976	333.93976	184.3174	149.62	0.44805
4590101	Cabbage White	Cabbage White					670	933.76000kg	1120.512	0	1120.512	1120.512	560.256	560.26	0.5
4590103	Carrots	Carrots					4147	4805.78200kg	4757.72418	0	4757.72418	4757.72418	1922.3128	2835.41	0.59596
4630986	Carrots Sack	Carrots Sack					32		258.2	0	258.2	258.2	169.6	88.6	0.34314
4590108	Celeriac	Celeriac					490	599.00500kg	1156.07965	0	1156.07965	1156.07965	658.9055	497.17	0.43005
4590110	Celery	Celery					769		992.01	0	992.01	992.01	0	992.01	1
10054732	Cherries loose	Cherries loose					76	8.14800kg	71.7024	0	71.7024	71.7024	40.74	30.96	0.4318
9952788	Cherries punnet	Cherries punnet					27		62.43	0	62.43	62.43	37.5	24.93	0.39933
18911655	Chestnuts net	Chestnuts net					13		31.91	0	31.91	31.91	23.85	8.06	0.25259
19989859	Chicory box LARGE	Chicory box LARGE					2		36	0	36	36	24	12	0.33333
9884793	Chicory loose	Chicory loose					46		55.2	0	55.2	55.2	32.2	23	0.41667
11290936	Coconut	Coconut					79		78.21	0	78.21	78.21	47.4	30.81	0.39394
4590166	Corn Baby	Corn Baby					9		10.71	0	10.71	10.71	6.57	4.14	0.38655
7610691	Courgette box	Courgette box					20		266.5	0	266.5	266.5	163.3	103.2	0.38724
4590114	Courgettes	Courgettes					2157	1807.66400kg	5792.0736	0	5792.0736	5792.0736	3153.35078	2638.72	0.45557
10749375	Cranberries	Cranberries					11		23.29	0	23.29	23.29	14	9.29	0.39888
4590117	Cress	Cress					1890		567	0	567	567	315.12	251.88	0.44423
4590118	Cucumber	Cucumber					8831		5975.29	0	5975.29	5975.29	3920.36	2054.93	0.3439
7884946	Cucumber Box	Cucumber Box					31		319.7	0	319.7	319.7	211.8	107.9	0.3375
7911786	Cucumber mini punnet	Cucumber mini punnet					61		35.99	0	35.99	35.99	0	35.99	1
4631295	Dates Medjool Loose	Dates Medjoul California					307	73.39400kg	954.122	0	954.122	954.122	447.7034	506.42	0.53077
10229222	Dates Medjoul 1kg Box	Dates mejoul 1kg box					379		2013.18	0	2013.18	2013.18	1258	755.18	0.37512
10285274	Fig	Fig					369		243.21	0	243.21	243.21	136.22	106.99	0.43991
4590164	Fine Beans	Fine Beans					452		693.12	0	693.12	693.12	426.4	266.72	0.38481
4590122	Garlic Bulb Small	Garlic Bulb Small					1463		702.24	0	702.24	702.24	0	702.24	1
4577783	Grapefruit Red	Grapefruit Red					1435		846.65	0	846.65	846.65	689.66	156.99	0.18542
4577785	Grapes Green Punnet	Grapes Green Punnet					555		1554	0	1554	1554	832.5	721.5	0.46429
4577786	Grapes Red	Grapes Red					153	151.27800kg	812.528	0	812.528	812.528	605.112	207.42	0.25527
4577784	Grapes Red Punnet	Grapes Red Punnet					1627		4516.6	0	4516.6	4516.6	2277.8	2238.8	0.49568
4577787	Grapes White	Grapes White					116	109.62200kg	492.20278	0	492.20278	492.20278	350.7904	141.41	0.2873
10255600	Guava	Guava					62		61.38	0	61.38	61.38	34.1	27.28	0.44444
