ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
-39108	grapes						1		3	0	3	3	0	3	1
4580430	Papaya	Papaya					1		3.99	0	3.99	3.99	0	3.99	1
-39108	137 bew						1		106.97	0	106.97	106.97	0	106.97	1
-39108	15 kg peeled pot						1		28.65	0	28.65	28.65	0	28.65	1
-39108	2x box cue						1		19	0	19	19	0	19	1
	2x sack pot						1		28	0	28	28	0	28	1
-39108	3 cabbage						1		1.5	0	1.5	1.5	0	1.5	1
-39108	3 pot						1		49.5	0	49.5	49.5	0	49.5	1
-39108	3 x mango						1		0.6	0	0.6	0.6	0	0.6	1
-39108	05-Feb						1		0.01	0	0.01	0.01	0	0.01	1
-39108	6kg peeled potatoes						1		11.46	0	11.46	11.46	0	11.46	1
-39108	07-Feb						1		0.01	0	0.01	0.01	0	0.01	1
49766771	7.5 KG Potato	7.5 KG Potato					20		110	0	110	110	0	110	1
47549163	9 Clementines	9 Clementines					1		2.5	0	2.5	2.5	0	2.5	1
-39108	abergine						1		6.2	0	6.2	6.2	0	6.2	1
-39108	apple						3		16.11	0	16.11	16.11	0	16.11	1
-39108	apple box						1		13	0	13	13	0	13	1
48180213	Apple Cooking	Apples Cooking					190	321.10800kg	1066.07856	0	1066.07856	1066.07856	533.03928	533.04	0.5
	Apple granny box						1		22	0	22	22	0	22	1
-39108	apples						1		14	0	14	14	0	14	1
2693455	Apples Braeburn	Apples Braeburn					917	924.14800kg	2487.04156	15.1557	2471.88586	2471.88586	1155.185	1316.7	0.53267
2693458	Apples Gala	Apples Gala					641	892.87400kg	2550.53724	18.4972	2532.04004	2532.04004	5357.244	-2825.2	-1.11578
46128582	Apples Gala Box (12KG)	Apples Gala Box (12KG)					4		0	0	0	0	84	-84	0
2602093	Apples Golden	Apples Golden					594	695.00800kg	1937.35172	3.2918	1934.05992	1934.05992	1153.71328	780.35	0.40348
46128583	Apples Golden Box (12KG)	Apples Golden Box (12KG)					6		0	0	0	0	0	0	0
4577778	Apples Granny	Apples Granny					502	575.61400kg	1590.9512	10.8623	1580.0889	1580.0889	5324.4295	-3744.34	-2.36971
46128584	Apples Granny Box (12KG)	Apples Granny Box (12KG)					9		0	0	0	0	0	0	0
46128604	Apples Joya	Apples Joya					3	4.80600kg	9.51588	0	9.51588	9.51588	3.17196	6.34	0.66681
4577780	Apples Pink Lady	Apples Pink Lady					662	510.43400kg	2136.23358	21.7192	2114.51438	2114.51438	4083.472	-1968.96	-0.93117
46128585	Apples Pink Lady Box (12KG)	Apples Pink Lady Box (12KG)					6		0	0	0	0	0	0	0
4577781	Apples Red Delicious	Apples Red Delicious					401	269.01400kg	858.99528	11.0806	847.91468	847.91468	158.71826	689.2	0.81281
46128586	Apples Red Delicious Box (12KG)	Apples Red Delicious Box (12KG)					14		0	0	0	0	224	-224	0
	apricot						1		13	0	13	13	0	13	1
46128454	Apricot Loose	Apricot Loose					555		111	0.1022	110.8978	110.8978	266.4	-155.5	-1.40221
48201521	Asparagus	Asparagus					1		2.99	0	2.99	2.99	0	2.99	1
-39108	aub,pot,sweetpot,sharon						1		10.23	0	10.23	10.23	0	10.23	1
-39108	aubergine						1		11.5	0	11.5	11.5	0	11.5	1
4590120	Aubergine	Aubergine					1249	1031.40800kg	3973.2499	17.436	3955.8139	3955.8139	7838.7008	-3882.89	-0.98156
	aubergine box						1		11.5	0	11.5	11.5	0	11.5	1
9873230	Aubergine box (5KG)	Aubergine box (5KG)					17		0	0	0	0	0	0	0
-39108	avo						1		2	0	2	2	0	2	1
2602077	Avocado	Avocado					6637		7133.43	9.8747	7123.5553	7123.5553	5541.895	1581.66	0.22203
48136643	Avocado 3 for £1	Avocado 3 for £1					286		286	2.5008	283.4992	283.4992	0	283.5	1
46128579	Avocado Box (20)	Avocado Box (20)					51		969	0	969	969	714	255	0.26316
48291132	Avocado Special Offer	Avocado Special Offer					16		59.04	0	59.04	59.04	0	59.04	1
48688499	Avocado Special Offer 10 for £1	Avocado Special Offer 10 for £1					25		25	0	25	25	15	10	0.4
-39108	baby pot						1		17	0	17	17	0	17	1
-39108	baby pot box						1		15.5	0	15.5	15.5	0	15.5	1
	babypots						1		3.8	0	3.8	3.8	0	3.8	1
4577782	Banana	Banana					4089	3714.43700kg	6654.41274	76.8724	6577.54034	6577.54034	4308.74692	2268.79	0.34493
46128587	Banana Box (20KG)	Banana Box (20KG)					17		382.5	0	382.5	382.5	314.5	68	0.17778
45840215	Bean Sprouts	Bean Sprouts					55		48.95	0	48.95	48.95	27.5	21.45	0.4382
46621621	Beetroot Loose	Beetroot Loose					361	397.35400kg	786.76092	0	786.76092	786.76092	0	786.76	1
48466184	Belgium Strawberry punnet	Belgium Strawberry	8453108234				6		29.75	0	29.75	29.75	10.8	18.95	0.63697
48280193	Blood orange	Blood orange					169		33.8	0.1188	33.6812	33.6812	0	33.68	1
47891356	Blueberry	Blueberry					363		683.18	1.0267	682.1533	682.1533	0	682.15	1
