ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
4577776	Apples Gala BOX	Box					29		604.2	0	604.2	604.2	415	189.2	0.31314
9864657	Apple cooking	Apple cooking					4		88	0	88	88	56	32	0.36364
2693455	Apples Braeburn	Apples Braeburn					695	892.37900kg	1766.91042	0	1766.91042	1766.91042	1338.5685	428.34	0.24242
4630983	Apples Braeburn Box (12KG)	Apples Braeburn Box (12KG)					60		1314	0	1314	1314	974	340	0.25875
2693456	Apples Cooking	Apples Cooking					280	477.59100kg	1220.9402	0	1220.9402	1220.9402	716.94956	503.99	0.41279
2693458	Apples Gala	Apples Gala					636	798.51300kg	1581.05574	0	1581.05574	1581.05574	798.513	782.54	0.49495
10228109	Apples Gala LARGE BOX Gala	Apples LARGE BOX Gala					10		218	0	218	218	170	48	0.22018
2602093	Apples Golden	Apples Golden					572	747.97400kg	1480.98852	0	1480.98852	1480.98852	493.66284	987.33	0.66667
4630982	Apples Golden Box	Golden Box					6		114	0	114	114	87	27	0.23684
10228111	Apples Golden LARGE BOX	Apples Golden LARGE BOX					7		161	0	161	161	105	56	0.34783
4577778	Apples Granny	Apples Granny					600	736.67700kg	1458.62046	0	1458.62046	1458.62046	581.97483	876.65	0.60101
7844080	Apples Granny box	Apples Granny box					4		88	0	88	88	64	24	0.27273
4577780	Apples Pink Lady	Apples Pink Lady					678	584.65200kg	1929.3516	0	1929.3516	1929.3516	1169.304	760.05	0.39394
4577781	Apples Red Delicious	Apples Red Delicious					274	218.64000kg	432.9072	0	432.9072	432.9072	166.1664	266.74	0.61616
7516865	Apricot punnet	Apricot punnet					130		202.1	0	202.1	202.1	132.4	69.7	0.34488
2602075	Apricots Loose	Apricots Loose					253	90.72000kg	349.8144	0	349.8144	349.8144	193.0512	156.76	0.44813
4590120	Aubergine	Aubergine					720	566.17400kg	2482.7312	0	2482.7312	2482.7312	1399.3592	1083.37	0.43636
2602077	Avocado	Avocado					3249		3306.91	0	3306.91	3306.91	1762.73	1544.18	0.46696
19810787	Avocado 4 for £1	Avocado 4 for £1					220		220	0	220	220	0	220	1
4577782	Banana	Banana					3090	3166.70200kg	4180.04664	0	4180.04664	4180.04664	4116.7126	63.33	0.01515
9884789	Banana box	Banana box					1		22	0	22	22	18	4	0.18182
4590096	Beetroot Raw	Beetroot Raw					44	79.51700kg	78.72183	0	78.72183	78.72183	38.16816	40.55	0.51514
9726017	Butternut Box 1	Butternut Box 1					6		54	0	54	54	27	27	0.5
