ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
4580427	Chestnuts	Chestnuts						1	100.00000g	0.1	0	0.1	0.1	0.79	-0.69	-6.9
	chicory							1		2	0	2	2	0	2	1
-39108	chicory							7		10	0	10	10	0	10	1
9884793	Chicory loose	Chicory loose						14		14	0	14	14	10.5	3.5	0.25
-39108	chinese apple							1		3	0	3	3	0	3	1
7927245	Chinese Leaf	Chinese Leaf	5636633534					130		257.4	0	257.4	257.4	130	127.4	0.49495
49766700	clems ba	clems bag						178		178	0	178	178	0	178	1
47592794	Closed punnet grapes	Closed Punnet grapes						2722		5988.4	40.5396	5947.8604	5947.8604	0	5947.86	1
46128907	Coca Cola Bottle	Coca Cola Bottle						30		81	0	81	81	0	81	1
46128908	Coca Zero Bottle	Coca Zero Bottle						30		66	0	66	66	0	66	1
-39108	coconut							3		4	0	4	4	0	4	1
50214000	Coconut	Coconut						43		43	0	43	43	0	43	1
-39108	coconuts							2		4	0	4	4	0	4	1
-39108	cooking apples							1		50	0	50	50	0	50	1
-39108	couegette box							1		9.5	0	9.5	9.5	0	9.5	1
-39108	courgete; avo x 2 boxes							1		51	0	51	51	0	51	1
-39108	courgettes							3		10	0	10	10	0	10	1
4590114	Courgettes	Courgettes						2766	2423.46400kg	8755.56064	36.5885	8718.97214	8718.97214	1357.13984	7361.83	0.84435
48906965	Courgettes Chips 1KG	Courgette Chips 1KG						1		3.56	0	3.56	3.56	0	3.56	1
51110101	Courgettes mini 25 for 50p	Mini Courgettes 25 for 50p						13		6.5	0	6.5	6.5	0	6.5	1
4590117	Cress	Cress						608		267.52	1.8474	265.6726	265.6726	103.36	162.31	0.61095
	cucumber							1		8	0	8	8	0	8	1
4590118	Cucumber	Cucumber						16783		11580.27	28.0872	11552.1828	11552.1828	6314.60375	5237.58	0.45338
25386548	Cucumber mini	Cucumber mini						1	0.00400kg	0.01396	0.0014	0.01256	0.01256	0.0044	0.01	0.48837
48230585	Cucumber mini box	Cucumber mini box						59		256.3	0	256.3	256.3	0	256.3	1
-39108	cucumbers							1		8.5	0	8.5	8.5	0	8.5	1
-39108	cucumbers mini							1		1	0	1	1	0	1	1
-39108	cues							1		1	0	1	1	0	1	1
-39108	currants							1		1.5	0	1.5	1.5	0	1.5	1
	custad pple							1		1	0	1	1	0	1	1
51135166	Custard Apple	Custard Apple						24		24	0	24	24	0	24	1
51082442	Date box small	Date box small						580		864.2	9.1402	855.0598	855.0598	0	855.06	1
-39108	dates							2		8.48	0	8.48	8.48	0	8.48	1
46691283	Dates Medjool box	Dates Mejool box						89		440.61	0	440.61	440.61	0	440.61	1
4631295	Dates Medjool Loose	Dates Medjoul California						618	108.37400kg	1598.4632	0	1598.4632	1598.4632	866.992	731.47	0.45761
