ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
-39108								15		0	0	0	0	0	0	0
4577776	Apples Gala BOX	Box					37		704.6	0	704.6	704.6	494	210.6	0.29889
2693455	Apples Braeburn	Apples Braeburn					793	1118.77200kg	2215.16856	0	2215.16856	2215.16856	1678.158	537.01	0.24242
4630983	Apples Braeburn Box (12KG)	Apples Braeburn Box (12KG)					71		1420.6	0	1420.6	1420.6	1021	399.6	0.28129
2693456	Apples Cooking	Apples Cooking					349	611.40400kg	1932.01392	0	1932.01392	1932.01392	1249.567	682.45	0.35323
2693458	Apples Gala	Apples Gala					687	866.81600kg	1716.29568	0	1716.29568	1716.29568	866.816	849.48	0.49495
2602093	Apples Golden	Apples Golden					705	1020.01300kg	2019.62574	0	2019.62574	2019.62574	673.20858	1346.42	0.66667
4630982	Apples Golden Box	Golden Box					13		230.5	0	230.5	230.5	173.5	57	0.24729
10228111	Apples Golden LARGE BOX	Apples Golden LARGE BOX					3		66	0	66	66	51	15	0.22727
4577778	Apples Granny	Apples Granny					797	982.64400kg	1945.63512	0	1945.63512	1945.63512	776.28876	1169.35	0.60101
7844080	Apples Granny box	Apples Granny box					16		314.4	0	314.4	314.4	221.5	92.9	0.29548
4577780	Apples Pink Lady	Apples Pink Lady					803	789.31200kg	2502.78336	0	2502.78336	2502.78336	1448.87424	1053.91	0.42109
4577781	Apples Red Delicious	Apples Red Delicious					457	353.16600kg	699.26868	0	699.26868	699.26868	268.40616	430.86	0.61616
7516865	Apricot punnet	Apricot punnet					252		476.28	0	476.28	476.28	302.4	173.88	0.36508
2602075	Apricots Loose	Apricots Loose					11	5.91600kg	26.0304	0	26.0304	26.0304	14.1984	11.83	0.45454
4590120	Aubergine	Aubergine					930	706.03800kg	2507.17056	0	2507.17056	2507.17056	917.8494	1589.32	0.63391
9873230	Aubergine box (5KG)	Aubergine box (5KG)					6		75	0	75	75	51	24	0.32
